station_id,wmo_station_number,observation_time_utc,latitude,longitude,air_temperature_c,dew_point_temperature_c,station_pressure_hpa,mslp_hpa,wind_direction_deg,wind_speed_ms,horizontal_visibility_km,total_cloud_amount_oktas,cloud_base_height_m,present_weather_code,present_weather_description,past_weather_code,past_weather_description,past_weather_2_code,past_weather_2_description,pressure_tendency_characteristic_code,pressure_tendency_characteristic,pressure_tendency_change_hpa,precipitation_amount_mm,precipitation_period_hours,raw_synop
42182,42182,2025-06-30T09:00:00Z,28.583333,77.2,30.4,27.1,,996.6,70,1.543,2.0,8,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 30094 42182 31595 80703 10304 20271 49966 71022 8532/ 333 58018 84630 81935 88459=
42182,42182,2025-06-30T12:00:00Z,28.583333,77.2,29.6,26.8,,995.6,70,1.543,2.0,8,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 30124 42182 31595 80703 10296 20268 49956 71022 8532/ 333 10306 58013 84630 81935 88459=
42182,42182,2025-06-30T15:00:00Z,28.583333,77.2,27.8,26.4,,996.8,70,1.543,2.0,7,600,10,Mist,5,Drizzle,2,Cloud covering more than half of the sky throughout the period,,,,0.0,12.0,AAXX 30154 42182 21595 70703 10278 20264 49968 71052 84320 333 58014 6990/ 84630 81935 88459=
42182,42182,2025-06-30T18:00:00Z,28.583333,77.2,27.8,26.4,,997.9,,1.029,2.0,8,600,60,"Rain, not freezing, intermittent, slight",5,Drizzle,2,Cloud covering more than half of the sky throughout the period,,,,0.0,15.0,AAXX 30184 42182 21595 89902 10278 20264 49979 76052 8432/ 333 58009 6990/ 84630 81935 88459=
42182,42182,2025-06-30T21:00:00Z,28.583333,77.2,26.6,26.3,,997.0,,1.029,2.0,8,600,10,Mist,6,Rain,2,Cloud covering more than half of the sky throughout the period,,,,3.0,18.0,AAXX 30214 42182 21595 89902 10266 20263 49970 71062 8532/ 333 58012 6003/ 85630 81935 88459=
42182,42182,2025-07-01T00:00:00Z,28.583333,77.2,26.6,26.0,,997.2,,1.029,2.0,8,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,3.0,21.0,AAXX 01004 42182 21595 89902 10266 20260 49972 71022 8532/ 333 58009 6003/ 84630 81935 88459=
42182,42182,2025-07-01T03:00:00Z,28.583333,77.2,27.6,25.6,,1000.1,,1.029,2.0,8,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,3.0,24.0,AAXX 01034 42182 21595 89902 10276 20256 40001 71022 8432/ 333 10306 20252 58023 6003/ 84630 81935 88459 555 00025 10110=
42182,42182,2025-07-01T06:00:00Z,28.583333,77.2,30.8,26.0,,999.8,,1.029,2.0,7,600,10,Mist,5,Drizzle,2,Cloud covering more than half of the sky throughout the period,,,,0.3,3.0,AAXX 01064 42182 21595 79902 10308 20260 49998 71052 84320 333 58016 6993/ 84630 81935 87459=
42182,42182,2025-07-01T09:00:00Z,28.583333,77.2,34.6,26.9,,996.6,70,2.572,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,0.3,6.0,AAXX 01094 42182 21596 60705 10346 20269 49966 70522 83530 333 58003 6993/ 83630 85360=
42182,42182,2025-07-01T12:00:00Z,28.583333,77.2,34.6,26.9,,995.0,50,1.543,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,0.3,9.0,AAXX 01124 42182 21596 60503 10346 20269 49950 70522 83330 333 10351 59002 6993/ 83630 81935 85360=
